"Epoch","Train Loss","Train Accuracy","Validation Loss","Validation Accuracy"
"1","1.1015","0.7891","0.8352","0.8422"
"2","0.8695","0.8693","0.6465","0.8456"
"3","0.7038","0.8904","0.5413","0.8733"
"4","0.5760","0.9075","0.4619","0.8772"
"5","0.4809","0.9193","0.4213","0.8889"
"6","0.4023","0.9293","0.3860","0.8950"
"7","0.3394","0.9390","0.3838","0.8889"
"8","0.2870","0.9464","0.3976","0.8894"
"9","0.2517","0.9494","0.3571","0.8967"
"10","0.2191","0.9549","0.3664","0.8844"
"11","0.1877","0.9607","0.3520","0.9006"
"12","0.1643","0.9656","0.3813","0.8861"
"13","0.1523","0.9662","0.3718","0.8978"
"14","0.1323","0.9697","0.3582","0.9006"
"15","0.1191","0.9731","0.3830","0.8922"
